CustomerID,SignupDate,LastPurchaseDate,TenureMonths,MonthlyCharges,SupportCalls,Churn,Frequent caller,ContractType_encoded,IsLongContract,Revenue,SupportCallsPerMonth
CUST_0000,2020-06-20,2024-07-29,47,71.3,2,0,No,0,0,3351.1,0.041666666666666664
CUST_0001,2023-01-03,2025-10-19,12,26.33,0,0,No,1,1,315.96,0.0
CUST_0002,2021-04-25,2022-03-21,16,57.26,1,0,No,1,1,916.16,0.058823529411764705
CUST_0003,2020-11-29,2023-04-18,24,73.81,2,0,No,1,1,1771.44,0.08
CUST_0004,2020-03-02,2020-06-30,19,19.62,0,1,No,1,1,372.78000000000003,0.0
CUST_0005,2020-03-02,2022-11-17,8,61.06,1,0,No,2,1,488.48,0.1111111111111111
CUST_0006,2020-01-22,2021-10-13,31,33.09,2,0,No,1,1,1025.7900000000002,0.0625
CUST_0007,2022-01-04,2025-02-17,21,96.66,2,1,No,0,0,2029.86,0.09090909090909091
CUST_0008,2020-12-01,2021-11-26,17,53.52,1,0,No,0,0,909.84,0.05555555555555555
CUST_0009,2021-03-25,2025-10-30,23,82.54,1,1,No,0,0,1898.42,0.041666666666666664
CUST_0010,2020-01-08,2023-10-19,37,59.52,1,0,No,0,0,2202.2400000000002,0.02631578947368421
CUST_0011,2023-07-02,2027-11-08,54,13.91,1,0,No,0,0,751.14,0.01818181818181818
CUST_0012,2021-10-14,2021-12-13,16,66.98,1,1,No,0,0,1071.68,0.058823529411764705
CUST_0013,2020-03-28,2025-01-31,6,95.63,3,0,Yes,0,0,573.78,0.42857142857142855
CUST_0014,2020-03-14,2024-06-21,8,64.15,2,1,No,0,0,513.2,0.2222222222222222
CUST_0015,2020-03-14,2021-10-05,25,83.73,4,0,Yes,2,1,2093.25,0.15384615384615385
CUST_0016,2020-05-12,2022-10-29,18,89.58,2,0,No,2,1,1612.44,0.10526315789473684
CUST_0017,2020-09-28,2021-01-26,25,30.53,2,1,No,0,0,763.25,0.07692307692307693
CUST_0018,2020-07-25,2022-06-15,12,29.08,2,0,No,2,1,348.96,0.15384615384615385
CUST_0019,2020-05-05,2023-07-19,15,64.99,2,0,No,0,0,974.8499999999999,0.125
CUST_0020,2020-12-11,2025-04-19,59,46.99,0,0,No,0,0,2772.4100000000003,0.0
CUST_0021,2020-02-24,2022-10-11,26,85.59,1,1,No,0,0,2225.34,0.037037037037037035
CUST_0022,2020-05-06,2020-12-02,41,91.0,2,0,No,0,0,3731.0,0.047619047619047616
CUST_0023,2020-06-15,2022-05-06,45,41.81,1,0,No,1,1,1881.45,0.021739130434782608
CUST_0024,2020-08-10,2024-08-19,26,31.32,1,1,No,1,1,814.32,0.037037037037037035
CUST_0025,2021-07-15,2023-02-05,47,80.25,1,1,No,0,0,3771.75,0.020833333333333332
CUST_0026,2020-03-22,2025-01-25,32,34.73,1,1,No,0,0,1111.36,0.030303030303030304
CUST_0027,2020-09-20,2021-12-14,10,84.04,1,0,No,0,0,840.4000000000001,0.09090909090909091
CUST_0028,2020-11-23,2024-12-02,16,48.14,0,1,No,0,0,770.24,0.0
CUST_0029,2020-01-18,2024-03-27,7,70.08,2,0,No,0,0,490.56,0.25
CUST_0030,2020-12-07,2021-11-02,17,18.6,2,0,No,0,0,316.20000000000005,0.1111111111111111
CUST_0031,2020-03-09,2021-03-04,23,66.15,2,0,No,2,1,1521.45,0.08333333333333333
CUST_0032,2020-01-25,2023-09-06,26,50.66,0,0,No,2,1,1317.1599999999999,0.0
CUST_0033,2022-12-21,2026-05-04,21,62.79,3,0,Yes,0,0,1318.59,0.13636363636363635
CUST_0034,2023-05-15,2026-06-28,22,25.12,1,0,No,2,1,552.64,0.043478260869565216
CUST_0035,2021-08-26,2023-08-16,58,76.32,0,1,No,0,0,4426.5599999999995,0.0
CUST_0036,2020-05-12,2024-01-22,7,87.65,1,1,No,0,0,613.5500000000001,0.125
CUST_0037,2020-02-07,2022-08-25,14,29.51,1,0,No,0,0,413.14000000000004,0.06666666666666667
CUST_0038,2021-02-24,2023-01-15,15,18.61,4,1,Yes,1,1,279.15,0.25
CUST_0039,2020-07-30,2024-06-09,53,12.13,1,0,No,2,1,642.89,0.018518518518518517
CUST_0040,2020-02-17,2023-11-28,7,67.78,0,0,No,1,1,474.46000000000004,0.0
CUST_0041,2020-09-06,2024-03-19,9,64.64,2,1,No,0,0,581.76,0.2
CUST_0042,2020-01-13,2020-09-09,51,59.2,1,0,No,1,1,3019.2000000000003,0.019230769230769232
CUST_0043,2022-05-26,2025-08-08,48,30.88,1,0,No,0,0,1482.24,0.02040816326530612
CUST_0044,2020-04-19,2024-04-28,8,45.18,1,0,No,2,1,361.44,0.1111111111111111
CUST_0045,2021-01-31,2022-11-22,50,63.5,1,0,No,0,0,3175.0,0.0196078431372549
CUST_0046,2020-05-16,2024-05-25,59,54.71,1,0,No,0,0,3227.89,0.016666666666666666
CUST_0047,2020-09-24,2021-09-19,23,98.9,3,1,Yes,0,0,2274.7000000000003,0.125
CUST_0048,2020-10-15,2025-08-20,29,22.28,1,0,No,1,1,646.12,0.03333333333333333
CUST_0049,2020-03-15,2024-12-19,18,72.56,0,0,No,0,0,1306.08,0.0
CUST_0050,2023-06-28,2026-01-13,31,46.39,0,0,No,1,1,1438.09,0.0
CUST_0051,2021-06-28,2025-07-07,30,48.54,1,1,No,0,0,1456.2,0.03225806451612903
CUST_0052,2022-10-20,2023-12-14,52,74.58,3,1,Yes,1,1,3878.16,0.05660377358490566
CUST_0053,2022-04-02,2025-02-15,39,72.32,0,0,No,2,1,2820.4799999999996,0.0
CUST_0054,2020-11-28,2024-11-07,35,99.21,0,0,No,2,1,3472.35,0.0
CUST_0055,2022-07-19,2022-11-16,18,21.56,2,1,No,0,0,388.08,0.10526315789473684
CUST_0056,2020-02-03,2021-10-25,59,19.37,0,0,No,0,0,1142.8300000000002,0.0
CUST_0057,2020-03-20,2021-06-13,42,75.19,0,0,No,0,0,3157.98,0.0
