CustomerID,SignupDate,LastPurchaseDate,TenureMonths,MonthlyCharges,ContractType,SupportCalls,Churn
CUST_0000,2020-06-20,2024-07-29,47,71.3,Month-to-month,2,0
CUST_0001,2023-01-03,2025-10-19,12,26.33,One year,0,0
CUST_0002,2021-04-25,2022-03-21,16,57.26,One year,1,0
CUST_0003,2020-11-29,2023-04-18,24,73.81,One year,2,0
CUST_0004,2020-03-02,2020-06-30,19,19.62,One year,0,1
CUST_0005,2020-03-02,2022-11-17,8,61.06,Two year,1,0
CUST_0006,2020-01-22,2021-10-13,31,33.09,One year,2,0
CUST_0007,2022-01-04,2025-02-17,21,96.66,Month-to-month,2,1
CUST_0008,2020-12-01,2021-11-26,17,53.52,Month-to-month,1,0
CUST_0009,2021-03-25,2025-10-30,23,82.54,Month-to-month,1,1
CUST_0010,2020-01-08,2023-10-19,37,59.52,Month-to-month,1,0
CUST_0011,2023-07-02,2027-11-08,54,13.91,Month-to-month,1,0
CUST_0012,2021-10-14,2021-12-13,16,66.98,Month-to-month,1,1
CUST_0013,2020-03-28,2025-01-31,6,95.63,Month-to-month,3,0
CUST_0014,2020-03-14,2024-06-21,8,64.15,Month-to-month,2,1
CUST_0015,2020-03-14,2021-10-05,25,83.73,Two year,4,0
CUST_0016,2020-05-12,2022-10-29,18,89.58,Two year,2,0
CUST_0017,2020-09-28,2021-01-26,25,30.53,Month-to-month,2,1
CUST_0018,2020-07-25,2022-06-15,12,29.08,Two year,2,0
CUST_0019,2020-05-05,2023-07-19,15,64.99,Month-to-month,2,0
CUST_0020,2020-12-11,2025-04-19,59,46.99,Month-to-month,0,0
CUST_0021,2020-02-24,2022-10-11,26,85.59,Month-to-month,1,1
CUST_0022,2020-05-06,2020-12-02,41,91.0,Month-to-month,2,0
CUST_0023,2020-06-15,2022-05-06,45,41.81,One year,1,0
CUST_0024,2020-08-10,2024-08-19,26,31.32,One year,1,1
CUST_0025,2021-07-15,2023-02-05,47,80.25,Month-to-month,1,1
CUST_0026,2020-03-22,2025-01-25,32,34.73,Month-to-month,1,1
CUST_0027,2020-09-20,2021-12-14,10,84.04,Month-to-month,1,0
CUST_0028,2020-11-23,2024-12-02,16,48.14,Month-to-month,0,1
CUST_0029,2020-01-18,2024-03-27,7,70.08,Month-to-month,2,0
CUST_0030,2020-12-07,2021-11-02,17,18.6,Month-to-month,2,0
